CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,RANK_CO,FCLTY_NM,SEARCH_CO,FILE_NM,BASE_DE
"강원도",강릉시,42150,1,씨마크호텔 [강릉],89990.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,2,오죽헌/시립박물관,35770.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,3,강릉아트센터(구. 강릉문화예술관),14240.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,3,강릉아트센터,14240.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,5,강릉커피박물관,10310.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,6,경포아쿠아리움,10070.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,7,에디슨과학박물관,5730.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,8,정동진시간박물관,3090.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,9,자연아놀자,2950.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,10,허균허난설헌기념관,2920.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,11,강릉문화원,2500.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,12,강릉교육문화관,1490.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,13,강릉시립미술관,1480.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,14,강릉 아이스아레나,1210.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,15,명주예술마당,980.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
"강원도",강릉시,42150,16,대관령박물관,680.0,KC_593_SRCH_CLT_MCST_TRAND_2019,20200219
